song_id,artist,title,period,genre,ttr,mattr,fk_grade
4efc9f735d2c,Parni valjak,Vrijeme ljubavi,sfrj,rok,0.5567010309278351,0.8295833333333333,8.95
d2abcf5e925f,Parni valjak,Za ljubav treba imat dušu,sfrj,rok,0.7142857142857143,0.74,9.46
48418301485a,Parni valjak,Zagreb ima isti pozivni,sfrj,rok,0.7596153846153846,0.8134545454545455,7.88
bba2b971e3ea,Parni valjak,Zapjevaj,sfrj,rok,0.5962732919254659,0.8507142857142858,7.89
8ba197c744ae,Parni valjak,Zapleši sa mnom ove noći,sfrj,rok,0.7787610619469026,0.891875,6.35
4d63bc36731b,Parni valjak,Zastave,sfrj,rok,0.7235772357723578,0.8972972972972973,8.12
ed5918c413c2,Parni valjak,Zvijezda sjevera,sfrj,rok,0.696969696969697,0.7658823529411765,7.4
80d9f54b2dbc,Prljavo kazalište,449 (Četiri četiri devet – Svaki put kad odlaziš),sfrj,rok,0.5398230088495575,0.7609375,6.92
d94b34ed4c74,Prljavo kazalište,A ti idi,sfrj,rok,0.45390070921985815,0.7497826086956522,5.74
cca0ed853d8d,Prljavo kazalište,Ako odlučiš,sfrj,rok,0.44537815126050423,0.7417142857142858,6.32
148229aca5ea,Prljavo kazalište,Ako tražiš nekoga,sfrj,rok,0.5921052631578947,0.7140740740740741,10.35
7b7b5e4df746,Prljavo kazalište,Anarhist,sfrj,rok,0.6881720430107527,0.7686363636363637,11.06
269675e7663b,Prljavo kazalište,Beznadežni slučaj,sfrj,rok,0.59375,0.777872340425532,9.02
da5a45a4a6a9,Prljavo kazalište,Bježi ptico od mene,sfrj,rok,0.3611111111111111,0.5806779661016949,8.13
5b40a04786f4,Prljavo kazalište,Brane srušit ću sve,sfrj,rok,0.6923076923076923,0.8752727272727273,6.01
d718b469e9db,Prljavo kazalište,Budala malena,sfrj,rok,0.42483660130718953,0.7128846153846153,7.08
e812d631b142,Prljavo kazalište,Buntovnik bez razloga,sfrj,rok,0.6991150442477876,0.7278125,8.83
040e4fd6261d,Prljavo kazalište,Crno-bijeli svijet,sfrj,rok,0.6666666666666666,0.6666666666666666,17.37
